id;origtext;enabled;is_default;default_terms_id;Group Value
7904;GoldMine;1;0;0;Business Applications
7905;MiFID;1;0;0;Quality Assurance & Compliance
7906;HttpUnit;1;0;0;Development Applications
7909;CppUnit;1;0;0;Development Applications
7913;ACTC;1;0;0;Qualifications
7916;Apache Hive;1;1;0;Database & Business Intelligence
7919;Minerva;1;0;0;Business Applications
7924;VAX;1;1;0;Miscellaneous
7925;EDMS;1;0;0;Database & Business Intelligence
7927;ComponentArt;1;0;0;Not Yet Defined
7929;IAG;1;0;0;System Software
7930;Razor;1;1;0;Not Yet Defined
7931;Xapian;1;1;0;Not Yet Defined
7934;GroupWise;1;0;0;Application Platforms
7935;NDS;1;0;0;System Software
7936;Mediasurface;1;0;0;Not Yet Defined
7937;Escenic;1;0;0;Application Platforms
7943;OpenRasta;1;1;0;Libraries, Frameworks & Software Standards
7944;Versant;1;0;0;Not Yet Defined
7946;JAXP;1;0;0;Not Yet Defined
7947;OpenID;1;1;0;Libraries, Frameworks & Software Standards
7948;Fiddler;1;0;0;Development Applications
7949;WebSockets;1;0;0;Libraries, Frameworks & Software Standards
7954;WDF;1;0;0;Libraries, Frameworks & Software Standards
7956;Microgen;1;0;0;Not Yet Defined
7960;Autodesk;1;1;0;Vendors
7962;Yii;1;1;0;Libraries, Frameworks & Software Standards
7964;Decalog;1;0;0;Business Applications
7968;MagicDraw;1;0;0;Not Yet Defined
7971;MMIC;1;0;0;Not Yet Defined
7972;Planning Poker;1;1;0;Processes & Methodologies
7973;Sencha;1;1;0;Vendors
7975;smartFOCUS;1;0;0;Vendors
7977;UDDI;1;0;0;Libraries, Frameworks & Software Standards
7983;Brainware;1;0;0;Not Yet Defined
7984;ANTLR;1;0;0;Development Applications
7986;NASTRAN;1;0;0;Applications
7987;JDA;1;1;0;Vendors
7989;HSQLDB;1;0;0;Database & Business Intelligence
7992;X-Windows;1;1;0;Libraries, Frameworks & Software Standards
7994;MIIS;1;0;0;Systems Management
7998;ANSYS;1;0;0;Vendors
8000;Sonic ESB;1;0;0;Application Platforms
8003;XHR;1;1;0;Not Yet Defined
8006;Embedded C/C++;1;1;0;Programming Languages
8008;Xerces;1;1;0;Not Yet Defined
8016;WinRT;1;1;0;Not Yet Defined
8017;BGP-4;1;0;0;Communications & Networking
8018;OpenVMS;1;1;0;Operating Systems
8020;RF;1;0;0;Not Yet Defined
8026;JFace;1;0;0;Libraries, Frameworks & Software Standards
8028;Trapeze;1;0;0;Vendors
8031;PureDisk;1;0;0;Systems Management
8036;Model-Glue;1;0;0;Not Yet Defined
8039;Doxygen;1;1;0;Development Applications
8043;OSS;1;1;0;Not Yet Defined
8045;FMECA;1;0;0;Processes & Methodologies
8050;SIGTRAN;1;0;0;Communications & Networking
8053;EccoWare;1;0;0;Not Yet Defined
8054;CQG;1;0;0;Vendors
8055;Formula;1;1;0;Not Yet Defined
8057;MGW;1;0;0;Communications & Networking
8059;NATURAL;1;1;0;Programming Languages
8061;Syncfusion;1;0;0;Vendors
8063;Plone;1;0;0;Application Platforms
8072;Papervision3D;1;0;0;Not Yet Defined
8073;PORTIA;1;0;0;Business Applications
